6.374147338867187500e+02,3.212379150390625000e+02,1.244467776268720627e-02
6.374086303710937500e+02,3.231003112792968750e+02,1.303100865334272385e-02
6.379201660156250000e+02,3.286996459960937500e+02,1.404026430100202560e-02
6.350599975585937500e+02,2.626568908691406250e+02,9.355518966913223267e-02
6.352962036132812500e+02,2.612392272949218750e+02,4.581765085458755493e-02
6.356826782226562500e+02,2.605210876464843750e+02,3.684142231941223145e-02
6.389763183593750000e+02,2.529818725585937500e+02,1.018408685922622681e-01
6.365532226562500000e+02,2.546383209228515625e+02,7.914353162050247192e-02
6.347009887695312500e+02,2.525980834960937500e+02,6.290224939584732056e-02
6.324433593750000000e+02,2.521301269531250000e+02,9.622482955455780029e-02
6.301008911132812500e+02,2.531467132568359375e+02,6.218513101339340210e-02
6.288964233398437500e+02,2.548974304199218750e+02,4.967509955167770386e-02
6.252161254882812500e+02,2.545373535156250000e+02,5.347652733325958252e-02
6.230328979492187500e+02,2.521569671630859375e+02,3.070499934256076813e-02
6.218291015625000000e+02,2.493315887451171875e+02,1.020391359925270081e-01
6.199191894531250000e+02,2.515012969970703125e+02,1.365867257118225098e-01
6.175668334960937500e+02,2.544784088134765625e+02,1.861988902091979980e-01
6.151932373046875000e+02,2.552525177001953125e+02,2.428755909204483032e-01
6.134505615234375000e+02,2.574397888183593750e+02,2.808879017829895020e-01
6.115471801757812500e+02,2.603551025390625000e+02,3.825134038925170898e-01
6.061666259765625000e+02,2.574112548828125000e+02,2.981100380420684814e-01
6.019689331054687500e+02,2.577337951660156250e+02,3.614779710769653320e-01
5.976333618164062500e+02,2.581055603027343750e+02,3.204348087310791016e-01
5.898659057617187500e+02,2.563352966308593750e+02,4.197113513946533203e-01
5.805404663085937500e+02,2.577593078613281250e+02,5.225340723991394043e-01
5.701704101562500000e+02,2.581082458496093750e+02,5.093279480934143066e-01
5.601253051757812500e+02,2.594334106445312500e+02,3.271307647228240967e-01
5.422911987304687500e+02,2.528651123046875000e+02,1.200229004025459290e-01
5.377186889648437500e+02,2.577936401367187500e+02,1.044064685702323914e-01
5.263610229492187500e+02,2.565203247070312500e+02,1.754123419523239136e-01
5.158335571289062500e+02,2.557642669677734375e+02,3.060987889766693115e-01
5.064246826171875000e+02,2.552083587646484375e+02,3.478362858295440674e-01
4.981305847167968750e+02,2.540845947265625000e+02,3.031057417392730713e-01
