etiqueta,frame,nose-mid_shoulder,mid_shoulder-mid_hip,left_shoulder-left_elbow,left_elbow-left_wrist,right_shoulder-right_elbow,right_elbow-right_wrist,left_hip-left_knee,left_knee-left_ankle,right_hip-right_knee,right_knee-right_ankle,mid_shoulder_angle,left_shoulder_angle,left_elbow_angle,right_shoulder_angle,right_elbow_angle,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle
subject_14,1,[97.24080446],[84.04188803],[96.35195199],[65.55544827],[96.01118993],[65.55544827],[110.53747738],[68.14518817],[101.33971425],[62.54835799],[166.80108358],[186.35195199],[149.20349628],[6.01118993],[149.54425834],[198.00211599],[137.60771079],[8.80435875],[141.20864374]
subject_14,2,[97.24080446 90.        ],[ 84.04188803 -90.        ],[ 96.35195199 101.86642362],[65.55544827 81.91347613],[96.01118993 99.2851878 ],[65.55544827 83.5153581 ],[110.53747738  99.54200146],[68.14518817 84.17562167],[101.33971425 100.32072874],[62.54835799 84.17562167],[166.80108358   0.        ],[186.35195199  11.86642362],[149.20349628 160.04705251],[  6.01118993 189.2851878 ],[149.54425834 164.2301703 ],[198.00211599  99.54200146],[137.60771079 164.6336202 ],[  8.80435875 100.32072874],[141.20864374 163.85489293]
subject_14,3,[97.24080446 90.         77.10315744],[ 84.04188803 -90.          87.93888045],[ 96.35195199 101.86642362  93.78440333],[65.55544827 81.91347613 87.68090884],[96.01118993 99.2851878  81.93192346],[65.55544827 83.5153581  91.18436345],[110.53747738  99.54200146 100.98643257],[68.14518817 84.17562167 95.46313332],[101.33971425 100.32072874 100.75819159],[62.54835799 84.17562167 95.59718245],[166.80108358   0.         190.83572301],[186.35195199  11.86642362 238.03603385],[149.20349628 160.04705251 173.89650551],[  6.01118993 189.2851878   46.18247931],[149.54425834 164.2301703  189.25243998],[198.00211599  99.54200146 190.98643257],[137.60771079 164.6336202  174.47670075],[  8.80435875 100.32072874  10.75819159],[141.20864374 163.85489293 174.83899086]
subject_14,4,[97.24080446 90.         77.10315744 63.48977333],[ 84.04188803 -90.          87.93888045  89.669581  ],[ 96.35195199 101.86642362  93.78440333 100.10090999],[ 65.55544827  81.91347613  87.68090884 -94.6244623 ],[96.01118993 99.2851878  81.93192346 95.34313091],[ 65.55544827  83.5153581   91.18436345 -93.56789114],[110.53747738  99.54200146 100.98643257 103.41763955],[ 68.14518817  84.17562167  95.46313332 108.84413469],[101.33971425 100.32072874 100.75819159 102.43608413],[ 62.54835799  84.17562167  95.59718245 107.01054582],[166.80108358   0.         190.83572301 206.17980767],[186.35195199  11.86642362 238.03603385 216.61163356],[149.20349628 160.04705251 173.89650551 345.27462771],[  6.01118993 189.2851878   46.18247931  31.85268558],[149.54425834 164.2301703  189.25243998 351.08897795],[198.00211599  99.54200146 190.98643257 238.3489507 ],[137.60771079 164.6336202  174.47670075 185.42649515],[  8.80435875 100.32072874  10.75819159  57.36739529],[141.20864374 163.85489293 174.83899086 184.57446169]
subject_14,5,[97.24080446 90.         77.10315744 63.48977333 65.0237307 ],[ 84.04188803 -90.          87.93888045  89.669581    89.67094534],[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999],[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139],[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621],[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915],[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614],[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704],[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837 ],[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047],[166.80108358   0.         190.83572301 206.17980767 204.64721464],[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025],[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862],[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646],[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464],[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589],[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089],[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579],[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677]
subject_14,6,[97.24080446 90.         77.10315744 63.48977333 65.0237307  59.58532583],"[ 84.04188803 -90.          87.93888045  89.669581    89.67094534
  90.        ]","[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999
  99.42701134]","[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139
 -93.88558549]",[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621 93.71725823],"[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915
 -95.29433071]","[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614
 104.8392049 ]","[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704
 113.74349733]","[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837
 103.84032245]","[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047
 112.54224176]","[166.80108358   0.         190.83572301 206.17980767 204.64721464
 210.41467417]","[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025
 240.66026015]","[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862
 346.68740318]","[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646
  54.95050704]","[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464
 350.98841106]","[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589
 315.89994349]","[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089
 188.90429243]","[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579
 134.90106104]","[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677
 188.70191931]"
subject_14,7,"[97.24080446 90.         77.10315744 63.48977333 65.0237307  59.58532583
 59.13750161]","[ 84.04188803 -90.          87.93888045  89.669581    89.67094534
  90.          91.55031455]","[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999
  99.42701134 101.84245968]","[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139
 -93.88558549  83.41275247]","[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621 93.71725823
 80.57459638]","[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915
 -95.29433071  82.02695876]","[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614
 104.8392049  109.40465284]","[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704
 113.74349733 111.72242247]","[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837
 103.84032245 104.41490944]","[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047
 112.54224176 110.48075192]","[166.80108358   0.         190.83572301 206.17980767 204.64721464
 210.41467417 212.41281294]","[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025
 240.66026015 265.39079607]","[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862
 346.68740318 161.57029279]","[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646
  54.95050704  64.12293277]","[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464
 350.98841106 181.45236238]","[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589
 315.89994349 257.29605557]","[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089
 188.90429243 182.31776963]","[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579
 134.90106104  72.30631218]","[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677
 188.70191931 186.06584248]"
subject_14,8,"[97.24080446 90.         77.10315744 63.48977333 65.0237307  59.58532583
 59.13750161 55.73206165]","[ 84.04188803 -90.          87.93888045  89.669581    89.67094534
  90.          91.55031455  89.38044819]","[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999
  99.42701134 101.84245968  90.        ]","[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139
 -93.88558549  83.41275247  99.86821294]","[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621 93.71725823
 80.57459638 78.88411885]","[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915
 -95.29433071  82.02695876  81.08278054]","[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614
 104.8392049  109.40465284 118.94625068]","[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704
 113.74349733 111.72242247 105.38007779]","[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837
 103.84032245 104.41490944 104.62447409]","[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047
 112.54224176 110.48075192 103.86443616]","[166.80108358   0.         190.83572301 206.17980767 204.64721464
 210.41467417 212.41281294 213.64838654]","[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025
 240.66026015 265.39079607 255.46918898]","[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862
 346.68740318 161.57029279 189.86821294]","[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646
  54.95050704  64.12293277  64.35331155]","[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464
 350.98841106 181.45236238 182.19866169]","[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589
 315.89994349 257.29605557 289.85817836]","[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089
 188.90429243 182.31776963 166.4338271 ]","[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579
 134.90106104  72.30631218  95.53658849]","[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677
 188.70191931 186.06584248 179.23996208]"
subject_14,9,"[97.24080446 90.         77.10315744 63.48977333 65.0237307  59.58532583
 59.13750161 55.73206165 55.67708102]","[ 84.04188803 -90.          87.93888045  89.669581    89.67094534
  90.          91.55031455  89.38044819  90.8831273 ]","[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999
  99.42701134 101.84245968  90.          84.91409178]","[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139
 -93.88558549  83.41275247  99.86821294 106.96924783]","[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621 93.71725823
 80.57459638 78.88411885 82.8976342 ]","[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915
 -95.29433071  82.02695876  81.08278054 112.24175977]","[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614
 104.8392049  109.40465284 118.94625068 120.78011365]","[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704
 113.74349733 111.72242247 105.38007779 101.81606898]","[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837
 103.84032245 104.41490944 104.62447409 101.52413169]","[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047
 112.54224176 110.48075192 103.86443616 101.27464979]","[166.80108358   0.         190.83572301 206.17980767 204.64721464
 210.41467417 212.41281294 213.64838654 215.20604628]","[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025
 240.66026015 265.39079607 255.46918898 262.86215516]","[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862
 346.68740318 161.57029279 189.86821294 202.05515605]","[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646
  54.95050704  64.12293277  64.35331155  80.845608  ]","[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464
 350.98841106 181.45236238 182.19866169 209.34412557]","[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589
 315.89994349 257.29605557 289.85817836 291.58874051]","[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089
 188.90429243 182.31776963 166.4338271  161.03595532]","[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579
 134.90106104  72.30631218  95.53658849  92.3328182 ]","[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677
 188.70191931 186.06584248 179.23996208 179.7505181 ]"
subject_14,10,"[97.24080446 90.         77.10315744 63.48977333 65.0237307  59.58532583
 59.13750161 55.73206165 55.67708102 55.78195453]","[ 84.04188803 -90.          87.93888045  89.669581    89.67094534
  90.          91.55031455  89.38044819  90.8831273   93.0264933 ]","[ 96.35195199 101.86642362  93.78440333 100.10090999 100.42691999
  99.42701134 101.84245968  90.          84.91409178  84.09799814]","[ 65.55544827  81.91347613  87.68090884 -94.6244623  -94.73377139
 -93.88558549  83.41275247  99.86821294 106.96924783 107.63811077]","[96.01118993 99.2851878  81.93192346 95.34313091 93.44649621 93.71725823
 80.57459638 78.88411885 82.8976342  80.36950806]","[ 65.55544827  83.5153581   91.18436345 -93.56789114 -95.16188915
 -95.29433071  82.02695876  81.08278054 112.24175977 114.0864961 ]","[110.53747738  99.54200146 100.98643257 103.41763955 103.36705614
 104.8392049  109.40465284 118.94625068 120.78011365  78.58103766]","[ 68.14518817  84.17562167  95.46313332 108.84413469 108.77562704
 113.74349733 111.72242247 105.38007779 101.81606898 134.58929834]","[101.33971425 100.32072874 100.75819159 102.43608413 102.2637837
 103.84032245 104.41490944 104.62447409 101.52413169 100.29751637]","[ 62.54835799  84.17562167  95.59718245 107.01054582 107.16355047
 112.54224176 110.48075192 103.86443616 101.27464979  97.8233951 ]","[166.80108358   0.         190.83572301 206.17980767 204.64721464
 210.41467417 212.41281294 213.64838654 215.20604628 217.24453877]","[186.35195199  11.86642362 238.03603385 216.61163356 216.84778025
 240.66026015 265.39079607 255.46918898 262.86215516 259.85849201]","[149.20349628 160.04705251 173.89650551 345.27462771 344.83930862
 346.68740318 161.57029279 189.86821294 202.05515605 203.54011263]","[  6.01118993 189.2851878   46.18247931  31.85268558  29.86735646
  54.95050704  64.12293277  64.35331155  80.845608    76.13003383]","[149.54425834 164.2301703  189.25243998 351.08897795 351.39161464
 350.98841106 181.45236238 182.19866169 209.34412557 213.71698803]","[198.00211599  99.54200146 190.98643257 238.3489507  238.18800589
 315.89994349 257.29605557 289.85817836 291.58874051 260.70373411]","[137.60771079 164.6336202  174.47670075 185.42649515 185.40857089
 188.90429243 182.31776963 166.4338271  161.03595532 236.00826068]","[  8.80435875 100.32072874  10.75819159  57.36739529  57.08277579
 134.90106104  72.30631218  95.53658849  92.3328182  102.42010481]","[141.20864374 163.85489293 174.83899086 184.57446169 184.89976677
 188.70191931 186.06584248 179.23996208 179.7505181  177.52587873]"
